Placing Score Name DoB Country
201 10 153 |Fabian Kriwan| 1996 AUT
202 10 150 |bruno geurts|   NLD
203 10 150 |David Tomlinson|   CHE
204 10 150 |Erick Kopff| 1995 USA
205 10 150 |Peter Li| 1994 USA
206 10 150 |Linus Raatz| 1999 DEU
207 10 142 |Tamás Farkas| 1994 HUN
208 10 120 |Zoltan Komjati| 1986 HUN
209 10 120 |Umberto Minellono|   ITA
210 10 120 |Nathan Joseph| 1990 USA
211 10 109 |Simon Weißer| 2000 DEU
212 10 109 |Katie Lamb| 1997 USA
213 10 106 |Petr Novák| 1989 CZE
214 10 103 |Buck Yedor| 1990 USA
215 10 103 |Thomas Salakenos| 1994 BEL
216 10 103 |Drexel Bakker| 1990 USA
217 10 100 |Christian Wagner| 1996 USA
218 10 100 |Alizée Dufraisse (f)| 1987 FRA
219 10 100 |Nicolas Schall| 1997 DEU
220 10 074 |Nick Lozica| 2001 USA
221 10 070 |Fabio Arz| 1999 CHE
222 10 070 |Gus Carter| 2002 USA
223 10 063 |»Roman Hofmann«|   AUS
224 10 055 |Zach Bramel| 1990 USA
225 10 053 |Brian Kim|   USA
226 10 053 |Paul Katterl| 1997 AUT
227 10 052 |Cailean Harker| 1989 GBR
228 10 050 |ludo Delmotte| 1998 FRA
229 10 050 |Matthias Woidneck|   DEU
230 10 050 |Stefano Parzani| 1992 ITA
231 10 050 |I'm Wet Ianuario| 1985 USA
232 10 047 |Brett Hoffman| 1996 USA
233 10 043 |Cooper Doe| 1999 USA
234 10 040 |Michael Niedermair| 1984 DEU
235 10 030 |Rodrigo Pessoa| 1990 BRA
236 10 026 |Mr. Larente| 1992 CAN
237 10 022 |Marijus Šmigelskis| 1984 ZAF
238 10 020 |Austin Flood| 1994 USA
239 10 019 |Soma Strommer| 1999 HUN
240 10 016 |Charlie Schreiber| 1993 USA
241 10 013 |Filip Donchev| 1998 BGR
242 10 011 |Manny Quintana| 1999 USA
243 10 011 |Rick Gentry|   USA
244 10 003 |Luis Funk| 2002 DEU
245 10 003 |Benjamin Lindfors|   USA
246 10 002 |John Thomas| 1988 USA
247 10 002 |Max Gawason| 2000 USA
248 10 002 |Sebastian Maya| 1990 MEX
249 10 002 |Cole Zuelke|   USA
250 10 000 |Max Bertone| 2007 FRA
251 10 000 |Joshua Muehring| 2002 USA
252 10 000 |Francesco Morandi| 1995 ITA
253 10 000 |Stefano Collin| 2001 ITA
254 10 000 |Marcell Ipach| 1986 HUN
255 10 000 |Alexander Gradenegger| 1998 AUT
256 10 000 |Klemens Hagleitner| 1997 AUT
257 10 000 |Ryan Copeland| 1994 USA
258 9 991 |Christophe Grelaud| 1987 FRA
259 9 973 |Marco Erspamer| 1986 ITA
260 9 973 |Skyler B|   USA
261 9 972 |Lorenz Ulmer| 1991 DEU
262 9 962 |Radek Votoček| 2001 CZE
263 9 960 |Sebastián Aceves| 1996 MEX
264 9 959 |Lejon Brames|   USA
265 9 956 |Thomas Gérard|   BEL
266 9 955 |Will Fraker| 1993 USA
267 9 953 |Owen Whaley| 2004 USA
268 9 953 |Steven Augustine| 1990 USA
269 9 953 |Irina Kuzmenko| 1995 RUS
270 9 953 |Peter Gasiak| 1987 SVK
271 9 952 |Cristian Zenerino| 1990 ITA
272 9 952 |Will Pair| 1997 USA
273 9 951 |Clinton Martinengo| 1974 ZAF
274 9 950 |Max Kleesattel|   DEU
275 9 950 |Baptiste Noulette| 1998 FRA
276 9 950 |Hans Christian Montenegro| 1983 CAN
277 9 950 |Kody Shutt| 1992 USA
278 9 950 |Matthias Eisenmann| 1995 DEU
279 9 950 |Carlos La Rosa| 1989 VEN
280 9 950 |Jeremy Parnell| 1990 USA
281 9 950 |Cristian Dorigatti|   ITA
282 9 940 |Philipe Souza| 1990 BRA
283 9 940 |Zach Wilson| 2001 USA
284 9 923 |Mitchell Romanat| 2001 USA
285 9 920 |Sam Sommers| 1990 USA
286 9 918 |Urs Moosmüller| 1993 USA
287 9 914 |Ben Steel|   USA
288 9 910 |Jan Hasenbichler| 1992 AUT
289 9 909 |Robin Donders| 1992 NLD
290 9 906 |Jakob Schäfer|   DEU
291 9 904 |Hank Gaylord| 1999 USA
292 9 903 |Nic Oklobzija| 1984 USA
293 9 903 |Andrew Jaraha| 1997 USA
294 9 900 |Daniel Wimmer|   AUT
295 9 900 |Jakob Schaefermeyer|   DEU
296 9 900 |Brennen Bull| 1991 USA
297 9 900 |Jamie Rushford| 1994 USA
298 9 900 |Free Agent|   USA
299 9 900 |Jan De Smit| 1974 BEL
300 9 900 |Tobias Francan| 1995 AUT
