Placing Score Name DoB Country
601 9 303 |KOEN BAEKELANDT| 1995 BEL
602 9 303 |Cooper Bastian| 1999 USA
603 9 303 |Samuel Pugin| 1988 CHE
604 9 303 |Stefan Dopatka| 1997 USA
605 9 303 |Rolando Naves| 1987 BRA
606 9 302 |Nathan Wu| 1999 USA
607 9 302 |Nick Friedman| 1988 USA
608 9 300 |Justin Logan| 2003 USA
609 9 300 |Max Smerek| 2002 USA
610 9 300 |Kike Pretus|   ESP
611 9 300 |Robert Mcgonagle| 2000 USA
612 9 300 |Javier Tremosa| 1995 ESP
613 9 300 |Gabe La Mont| 1997 USA
614 9 300 |Joey Catama| 1999 USA
615 9 300 |Alberto Raho| 1985 VEN
616 9 300 |Christian Schmidt|   DEU
617 9 300 |Kajtek Kups| 2001 POL
618 9 300 |Erik Jenson|   USA
619 9 300 |Alice Tavola| 2000 ITA
620 9 300 |Juan Herranz| 1994 ESP
621 9 300 |Guy McAtee|   USA
622 9 300 |Emelie Holmén| 1998 SWE
623 9 300 |Nolan Eightbrough| 1993 USA
624 9 300 |Falk Schmalzl| 1990 DEU
625 9 293 |Marcin Flower| 1918 POL
626 9 292 |Chevaan Patience| 1992 ZAF
627 9 290 |István Ágh| 1979 HUN
628 9 290 |clayton reagan| 1979 USA
629 9 280 |Gasper Bratina| 1980 SVN
630 9 279 |Juan Murray| 1977 GBR
631 9 278 |André Max|   BRA
632 9 276 |Ian Padilha|   BRA
633 9 276 |Piotrek Czarnecki| 1990 POL
634 9 270 |Ballernder Brüllaffe| 2002 DEU
635 9 270 |Bronson Riseng| 1989 USA
636 9 270 |Filippo Vecchi| 1993 ITA
637 9 270 |Tyler Hogan| 1986 USA
638 9 265 |Edwin Teran| 1985 USA
639 9 264 |Roman Höfer| 2001 DEU
640 9 260 |Marcus LaCavera| 1995 USA
641 9 260 |Benjamin Schelker| 1994 CHE
642 9 259 |Marco Viale| 1989 ITA
643 9 258 |Daniel Seo|   USA
644 9 256 |Jonathan Sparks| 1981 USA
645 9 256 |Tomek Zacharewicz| 1996 POL
646 9 253 |clothilde morin| 2000 FRA
647 9 253 |Roch Oddo| 1994 FRA
648 9 250 |Alexander Faller|   ITA
649 9 250 |Noah Walker| 1998 USA
650 9 250 |William Moss| 2004 USA
651 9 250 |Rubén Remírez| 1987 ESP
652 9 250 |Samuel Gardner|   USA
653 9 250 |Sei Rey Ho|   USA
654 9 250 |Cody Rawls| 1998 USA
655 9 250 |Patti Wohner| 1974 USA
656 9 250 |Eric March| 1991 USA
657 9 250 |Frederick High| 2000 GBR
658 9 250 |Sebastian-David Gantner| 1989 DEU
659 9 250 |E S|   CHE
660 9 250 |Lando Peters| 2000 DEU
661 9 248 |Jordan Shackelford|   USA
662 9 248 |immanuel diener| 1996 CHE
663 9 247 |Adam Macke| 1979 USA
664 9 222 |Rodrigo Aguiar| 1985 BRA
665 9 210 |Jake Tiger| 1991 CAN
666 9 210 |Spencer Church| 1989 USA
667 9 208 |Alberto "red" Bassini| 1989 ITA
668 9 208 |Christopher Leonetti| 1989 USA
669 9 208 |Matthew Jones| 1983 USA
670 9 206 |Filip Kluzowicz| 1989 POL
671 9 206 |Eli Hardie Howes| 1988 GBR
672 9 206 |Giovanni Costa| 1990 ITA
673 9 205 |Christian Hoyer| 1985 DEU
674 9 205 |Loren zoom|   DEU
675 9 205 |Josh Horsley| 1986 USA
676 9 205 |Eli Sills| 1998 USA
677 9 204 |Keegan Sullivan| 2009 USA
678 9 203 |Antonio Sanchez|   USA
679 9 203 |gibert gael| 1991 FRA
680 9 203 |Cesar Rosales|   ESP
681 9 203 |Elliot Gaunt| 1986 USA
682 9 202 |Anthony Pisaturo| 1999 USA
683 9 202 |Eli Michaels| 1990 USA
684 9 202 |Anders Rasker| 1995 USA
685 9 202 |mark brand| 1998 NLD
686 9 200 |philipp kieffer| 1987 DEU
687 9 200 |Adam Zalewski|   USA
688 9 200 |Lio Rodgers| 1993 USA
689 9 200 |Pitt Meyer| 1997 CHE
690 9 200 |Camilla Moroni| 2001 ITA
691 9 200 |Luiz Fernando Couto| 1982 BRA
692 9 200 |Zev Fineman|   USA
693 9 200 |Vadim Sukhov|   ESP
694 9 200 |Atrej Mak| 1993 USA
695 9 200 |Harry Waller|   GBR
696 9 195 |Ai Mori| 2003 JPN
697 9 195 |Max Höhle|   DEU
698 9 190 |Eric Cox| 1984 USA
699 9 185 |Peter Malander| 1996 USA
700 9 175 |Rob Gajland| 1987 NZL
