Placing Score Name DoB Country Height Weight |Started Climbing|
801 9 050 |H Himeno| 2020 USA |178 cm| |about 68 kg| 2012
802 9 050 |Dallas Dean| 2020 USA |178 cm| |about 63 kg| 2010
803 9 050 |Mario Strasser| 2020 AUT |167 cm| |about 58 kg| 2006
804 9 050 |Luke Conibear| 2020 GBR |190 cm| |about 83 kg| 2010
805 9 050 |Ritoon 's| 2020 ATA |180 cm| |about 73 kg| 
806 9 050 |Kyle Kuh| 2020 USA   
807 9 050 |Patryk Uszczyk| 2020 POL |177 cm| |about 68 kg| 2012
808 9 050 |Jim Petersen| 2020 GBR   2009
809 9 050 |Marco Merle| 2020 DEU |184 cm| |about 83 kg| 2011
810 9 050 |Kiaran Ratcliffe| 2020 GBR |184 cm| |about 63 kg| 2010
811 9 050 |Stephan Göb| 2020 DEU   
812 9 050 |Nathan Schenker| 2020 USA |168 cm| |about 58 kg| 2013
813 9 050 |Kyrill Leier| 2020 DEU |183 cm| |about 78 kg| 2007
814 9 048 |Miriam Borgstrom| 2020 USA |147 cm| |about 40 kg| 2014
815 9 045 |Adam Janicki| 2020 USA |149 cm| |about 63 kg| 2003
816 9 043 |Jordan TF| 2020 USA   
817 9 040 |Greg Sobczak| 2020 FRA |190 cm| |about 78 kg| 1980
818 9 028 |Randall Townsend| 2020 USA |176 cm| |about 73 kg| 
819 9 020 |Samuel Rufer| 2020 CHE |175 cm| |about 68 kg| 2006
820 9 017 |Patrick Daly| 2020 USA   
821 9 010 |Vinc Borutta| 2020 DEU |182 cm| |about 68 kg| 2013
822 9 010 |Guilherme Faoro| 2020 BRA |179 cm| |about 63 kg| 2011
823 9 006 |Karol Szczuchniak| 2020 POL |174 cm| |about 68 kg| 
824 9 006 |Ben Maurer| 2020 USA |183 cm| |about 68 kg| 2013
825 9 005 |King Ho Wong| 2020 NOR |173 cm| |about 68 kg| 2010
826 9 005 |Paolo Lucotti| 2020 ITA |184 cm| |about 68 kg| 2014
827 9 005 |Simon Lotz| 2020 DEU |182 cm| |about 68 kg| 
828 9 005 |Markus Crasser| 2020 DEU |186 cm| |about 73 kg| 2010
829 9 003 |Matthias Schäfgen| 2020 DEU |176 cm| |about 73 kg| 2002
830 9 003 |Gily Gonzales| 2020 none   
831 9 003 |Davide Dellapiana| 2020 ITA |180 cm| |about 73 kg| 2011
832 9 003 |Jarryd New| 2020 ZAF |182 cm| |about 73 kg| 2011
833 9 003 |Robin Kirchmair| 2020 AUT |185 cm|  
834 9 002 |Troy DeSimone| 2020 USA |175 cm| |about 73 kg| 2014
835 9 002 |Olga Ptáčková| 2020 CZE |156 cm| |about 48 kg| 2012
